date,sunspot_ms
1944-06,  15.3
1944-07,  17.0
1944-08,  18.9
1944-09,  20.4
1944-10,  23.4
1944-11,  27.5
1944-12,  31.7
1945-01,  36.4
1945-02,  39.7
1945-03,  41.7
1945-04,  46.8
1945-05,  52.8
1945-06,  55.2
1945-07,  57.1
1945-08,  64.3
1945-09,  73.2
1945-10,  80.1
1945-11,  86.9
1945-12,  93.2
1946-01, 101.0
1946-02, 111.7
1946-03, 121.5
1946-04, 128.0
1946-05, 135.7
1946-06, 147.7
1946-07, 157.7
1946-08, 163.1
1946-09, 167.3
1946-10, 173.3
1946-11, 182.8
1946-12, 193.4
1947-01, 199.2
1947-02, 204.1
1947-03, 211.2
1947-04, 217.2
1947-05, 218.7
1947-06, 216.1
1947-07, 214.1
1947-08, 210.9
1947-09, 206.0
1947-10, 206.3
1947-11, 207.1
1947-12, 205.7
1948-01, 205.0
1948-02, 202.3
1948-03, 198.9
1948-04, 195.7
1948-05, 192.2
1948-06, 191.6
1948-07, 193.5
1948-08, 199.8
1948-09, 209.1
1948-10, 210.3
1948-11, 203.8
1948-12, 197.1
1949-01, 193.4
1949-02, 190.4
1949-03, 188.5
1949-04, 188.4
1949-05, 190.9
1949-06, 192.5
1949-07, 190.3
1949-08, 184.1
1949-09, 176.1
1949-10, 171.4
1949-11, 169.4
1949-12, 167.1
1950-01, 162.8
1950-02, 158.5
1950-03, 150.7
1950-04, 141.0
1950-05, 131.6
1950-06, 122.6
1950-07, 116.4
1950-08, 111.9
1950-09, 106.7
1950-10, 102.3
1950-11, 101.2
1950-12, 102.4
1951-01, 101.6
1951-02,  98.5
1951-03,  98.9
1951-04, 100.2
1951-05,  99.5
1951-06,  98.9
1951-07,  97.3
1951-08,  94.0
1951-09,  89.8
1951-10,  84.0
1951-11,  75.3
1951-12,  66.5
1952-01,  61.5
1952-02,  59.8
1952-03,  56.2
1952-04,  51.4
1952-05,  48.0
1952-06,  45.5
1952-07,  44.0
1952-08,  42.1
1952-09,  40.3
1952-10,  39.5
1952-11,  38.8
1952-12,  37.3
1953-01,  34.6
1953-02,  31.0
1953-03,  28.6
1953-04,  27.2
1953-05,  25.0
1953-06,  22.0
1953-07,  18.5
1953-08,  16.7
1953-09,  16.6
1953-10,  15.1
1953-11,  12.8
1953-12,  10.8
1954-01,   9.3
1954-02,   8.2
1954-03,   6.3
1954-04,   5.1
1954-05,   5.5
1954-06,   6.3
1954-07,   7.9
1954-08,  10.5
1954-09,  11.4
1954-10,  11.6
1954-11,  13.8
1954-12,  17.4
1955-01,  20.5
1955-02,  23.7
1955-03,  28.0
1955-04,  33.5
1955-05,  41.2
1955-06,  50.0
1955-07,  57.0
1955-08,  66.0
1955-09,  78.8
1955-10,  91.3
1955-11, 103.5
1955-12, 114.8
1956-01, 125.8
1956-02, 139.4
1956-03, 154.7
1956-04, 168.1
